THIS FILE CREATED 13:05:27 31-Mar-9
90010800 192  84  55  15 100.0
  60  34   3   4
 .0500
 .1500
 .2500
 .3500
 .4500
 .5500
 .6500
 .7400
 .8100
 .8650
 .9100
 .9450
 .9700
 .9850
 .9950
 60 34 42.993 -72.044  290  4
 61 34 42.823 -71.055  133  6
 62 34 42.644 -70.072    0  7
 60 35 43.718 -71.815  422  6
 61 35 43.546 -70.814  242  6
 62 35 43.365 -69.820    0  7
 60 36 44.444 -71.580  506  5
 61 36 44.269 -70.567  366  5
 62 36 44.086 -69.561  142  6
 60 37 45.169 -71.339  470  5
 61 37 44.992 -70.314  416  5
 62 37 44.806 -69.296  239  6
90010800 60 34 1014.8 0.00 0
 9784 00290 03138 22011
10000 00117 01947 00000
 9250 00737 01556 25524
 8500 01406 04358 28031
 7000 02926 08341 27547
 5000 05458 25357 27563
 4000 07042 36158 27079
 3000 08988 47364 26609
 9740 00326 02742 22011
 9652 00398 02150 22514
 9520 00507 00756 23519
 9301 00693 01356 25024
 8993 00961 02745 26528
 8598 01316 03958 28030
 8115 01771 05358 28034
 7500 02388 06343 28042
 6709 03254 09541 27550
 5831 04323 16757 27056
 4953 05528 25757 27563
 4074 06915 35358 27077
 3196 08569 45764 26604
 2318 10668 54367 26629
 1439 13711 55767 26599
90010800 61 34 1015.1 0.00 0
 9982 00133 02331 21510
10000 00119 02332 00000
 9250 00741 01756 25525
 8500 01410 04159 27530
 7000 02930 08141 27545
 5000 05467 24746 27059
 4000 07054 35556 26576
 3000 09001 47362 26607
 9937 00169 01935 21510
 9848 00241 01348 22014
 9713 00351 00556 22517
 9488 00538 00557 24022
 9174 00807 02156 26026
 8770 01164 03359 27528
 8276 01621 04760 28031
 7647 02241 06156 27538
 6838 03111 08538 27547
 5940 04189 15340 26552
 5042 05406 24346 27058
 4144 06807 33956 27072
 3246 08479 45162 26600
 2347 10598 54365 27130
 1449 13677 55967 26599
90010800 62 34 1015.2 0.00 0
10152 00000 02650 23014
10000 00121 01241 23014
 9250 00743 02739 25523
 8500 01413 03961 27528
 7000 02933 07743 27045
 5000 05474 24134 27056
 4000 07065 34953 26574
 3000 09015 47161 26606
10106 00036 02247 23014
10014 00110 01442 23014
 9877 00221 00434 23015
 9648 00408 01134 23519
 9328 00677 02733 25023
 8916 01035 02956 27026
 8413 01494 04362 27529
 7772 02116 05957 27536
 6949 02990 07742 27045
 6033 04076 14130 26548
 5118 05303 22934 27054
 4203 06718 32755 26568
 3288 08405 44361 26596
 2373 10542 54364 27131
 1458 13651 56167 26598
90010800 60 35 1013.6 0.00 0
 9614 00422 02155 22011
10000 00108 00157 00000
 9250 00728 03345 24021
 8500 01394 05356 27532
 7000 02907 09732 27547
 5000 05427 26359 27067
