SURF.DAT        2.1             Hour Start and End Times with Seconds                           
   1
Produced by SMERGE Version: 5.651  Level: 080407                                
NONE    
UTC-0500
  1990   8   0     0  1990  15   0     0    5
   14606
   14611
   14745
   14742
   14764
    2.572  160.000  200    8  272.039   78 1004.745    0
    0.514   10.000  120 9999  273.150   72 1008.470    0
    1.543   80.000  150   10  272.594   82  997.295    0
    3.087   80.000  200    6  272.039   75  997.633    0
    1.500   90.000  149   10  274.850   62 1009.000    0
1990   8  19    0   1990   8  20    0
    0.000    0.000  999    4  270.928   85 1004.745    0
    0.514   10.000  200 9999  272.039   89 1007.454    0
    0.000    0.000  150   10  273.150   75  996.956    0
    2.572   40.000  200    6  271.483   82  996.956    0
    2.600   30.000  149    7  273.750   73 1009.000    0
1990   8  20    0   1990   8  21    0
    0.000    0.000  200    6  270.928   85 1004.406    0
    0.000    0.000  200 9999  273.150   82 1006.777    0
    0.000    0.000  150   10  273.150   79  996.617    0
    2.058   40.000  200    9  271.483   82  996.617    0
    2.100  360.000  149   10  273.750   79 1008.000    0
1990   8  21    0   1990   8  22    0
    0.000    0.000  200    6  270.928   85 1003.729    0
    0.000    0.000  150 9999  272.039   78 1006.438    0
    0.000    0.000  140   10  273.150   75  996.956    0
    2.058  100.000  200    9  270.928   82  996.956    0
    3.100  360.000  149   10  273.150   85 1008.000    0
1990   8  22    0   1990   8  23    0
    0.000    0.000  100    8  271.483   82 1003.390    0
    0.000    0.000   70 9999  271.483   85 1006.438    0
    1.543  330.000  140   10  272.594   82  995.940    0
    3.087  100.000  999    5  270.372   81  996.617    0
    3.100  350.000   20   10  273.750   82 1007.000    0
1990   8  23    0   1990   8  24    0
    0.000    0.000   90   10  271.483   82 1003.390    0
    0.000    0.000   70 9999  270.928   85 1006.438    0
    0.000    0.000  150   10  272.039   85  995.940    0
    3.087  250.000  999    3  270.372   81  996.279    0
    3.100  350.000  149   10  273.750   82 1007.000    0
1990   9   0    0   1990   9   1    0
    2.572  360.000   50   10  271.483   82 1002.374    0
    1.543   10.000   70 9999  273.150   82 1005.422    0
    0.000    0.000  150    8  272.039   82  995.940    0
    2.058  140.000  999    1  268.706   88  995.602    0
    2.600  320.000  149   10  273.750   82 1008.000    0
1990   9   1    0   1990   9   2    0
    2.572   10.000  150   10  271.483   78 1002.713    0
    2.058  350.000  200 9999  272.594   85 1006.099    0
    2.058  350.000   23    8  271.483   82  996.617    0
    2.058  210.000  999    2  268.706   88  995.602    0
    2.600  340.000  149   10  273.750   79 1007.000    0
1990   9   2    0   1990   9   3    0
    4.116   20.000  999    5  270.928   82 1002.374    0
    3.087   20.000  999 9999  272.594   79 1006.099    0
    0.000    0.000   16    9  269.817   88  996.956    0
    1.543   90.000  100    9  268.706   92  996.617    0
    2.100  340.000  999    2  272.550   82 1007.000    0
1990   9   3    0   1990   9   4    0
    2.572   30.000  120    4  270.372   85 1002.374    0
    0.000    0.000  999 9999  272.039   69 1006.099    0
    0.000    0.000  999    1  268.150   96  997.633    0
    4.630  150.000  110    6  271.483   78  996.617    0
    2.100  350.000  999    1  270.950   85 1007.000    0
1990   9   4    0   1990   9   5    0
    2.572  340.000  999    2  269.261   88 1003.052    0
    1.543   10.000  999 9999  271.483   69 1007.115    0
    0.000    0.000  999    0  267.594  100  998.311    0
    4.630  160.000  110    9  273.150   72  996.279    0
    2.100  310.000  999    2  270.950   82 1009.000    0
1990   9   5    0   1990   9   6    0
    2.058   30.000  999    3  268.706   96 1004.068    0
    0.000    0.000  999 9999  271.483   69 1007.454    0
    0.000    0.000  999    0  265.928   92  998.649    0
    7.717  170.000  100    9  273.706   73  996.617    0
    2.100  270.000  999    1  270.350   81 1009.000    0
1990   9   6    0   1990   9   7    0
    2.058   50.000  100    4  267.594  100 1004.745    0
    0.000    0.000  999 9999  269.261   88 1008.470    0
    0.000    0.000  999    0  265.372   92  999.665    0
    7.202  160.000  250    6  273.706   73  996.279    0
    2.100  280.000  999    2  269.850   88 1010.000    0
1990   9   7    0   1990   9   8    0
    1.543  310.000  999    1  267.039   96 1005.083    0
    0.000    0.000  999 9999  267.594   92 1009.824    0
    0.000    0.000  999    1  265.928   96 1000.004    0
    7.202  170.000  999    3  273.706   76  997.295    0
    1.500  310.000  999    3  269.250   85 1011.000    0
1990   9   8    0   1990   9   9    0
    0.000    0.000  999    0  268.706   85 1006.099    0
    0.000    0.000  999 9999  271.483   66 1010.163    0
    0.000    0.000  999    1  267.594   96 1001.358    0
    6.688  170.000  999    4  274.817   73  997.972    0
    1.500  320.000  999    0  272.050   75 1011.000    0
1990   9   9    0   1990   9  10    0
    0.000    0.000  999    1  269.817   85 1006.438    0
    0.000    0.000  999 9999  273.150   72 1010.502    0
    0.000    0.000  250    7  270.928   85 1001.697    0
    8.231  180.000  110    7  275.372   70  997.972    0
    1.000  130.000  999    0  274.250   64 1012.000    0
1990   9  10    0   1990   9  11    0
    0.000    0.000  999    0  272.039   75 1006.099    0
    1.543  170.000   40 9999  275.372   67 1010.840    0
    0.000    0.000  999    2  274.261   76 1000.681    0
    7.202  180.000  250    7  275.928   67  997.295    0
    3.100  150.000  999    3  275.950   59 1012.000    0
1990   9  11    0   1990   9  12    0
    1.029  100.000  999    1  275.928   57 1005.422    0
    2.058  180.000   19 9999  276.483   76 1010.163    0
    3.087  170.000  999    3  277.039   62  999.665    0
    6.688  170.000  120    7  276.483   65  996.617    0
    4.100  180.000  999    1  277.050   65 1011.000    0
1990   9  12    0   1990   9  13    0
    4.630  190.000  999    1  277.594   53 1004.745    0
    3.601  180.000  999 9999  278.706   86 1008.808    0
    3.087  170.000  999    3  278.706   55  998.988    0
    7.202  180.000  120    7  277.594   60  995.940    0
    5.200  160.000  250    5  277.050   70 1010.000    0
1990   9  13    0   1990   9  14    0
    4.630  190.000  100    8  277.039   60 1004.745    0
    4.116  190.000   80 9999  277.594   93 1009.486    0
    3.601  130.000  999    3  279.261   53  998.311    0
    7.202  170.000  120   10  277.594   60  995.940    0
    5.700  170.000  999    4  277.550   68 1010.000    0
1990   9  14    0   1990   9  15    0
    5.144  180.000   22    9  276.483   67 1005.083    0
    6.173  190.000  200 9999  277.594   93 1009.486    0
    3.087  160.000  120    9  278.706   55  998.649    0
    8.231  180.000  120   10  278.150   58  996.279    0
    6.200  170.000  140    7  277.050   70 1010.000    0
1990   9  15    0   1990   9  16    0
    5.144  170.000   24    8  277.039   67 1005.422    0
    5.144  180.000  100 9999  277.039   93 1009.147    0
