"Xkm" "Ykm" "Elev"
 350.500000 4879.50000 261.000000
 351.500000 4879.50000 216.600006
 352.500000 4879.50000 214.800003
 353.500000 4879.50000 279.700012
 354.500000 4879.50000 343.799988
 355.500000 4879.50000 265.700012
 356.500000 4879.50000 200.199997
 357.500000 4879.50000 182.600006
 338.500000 4880.50000 155.000000
 339.500000 4880.50000 186.100006
 340.500000 4880.50000 205.100006
 341.500000 4880.50000 184.800003
 342.500000 4880.50000 182.600006
 343.500000 4880.50000 186.600006
 344.500000 4880.50000 188.300003
 345.500000 4880.50000 198.899994
 346.500000 4880.50000 219.800003
 347.500000 4880.50000 217.000000
 348.500000 4880.50000 228.699997
 349.500000 4880.50000 271.799988
 350.500000 4880.50000 253.699997
 351.500000 4880.50000 213.300003
 352.500000 4880.50000 212.899994
 353.500000 4880.50000 243.000000
 354.500000 4880.50000 308.500000
 355.500000 4880.50000 239.399994
 356.500000 4880.50000 189.000000
 357.500000 4880.50000 184.699997
 338.500000 4881.50000 167.600006
 339.500000 4881.50000 182.000000
 340.500000 4881.50000 198.300003
 341.500000 4881.50000 211.300003
 342.500000 4881.50000 213.399994
 343.500000 4881.50000 223.199997
 344.500000 4881.50000 265.299988
 345.500000 4881.50000 364.399994
 346.500000 4881.50000 319.100006
 347.500000 4881.50000 284.799988
 348.500000 4881.50000 304.299988
 349.500000 4881.50000 303.600006
 350.500000 4881.50000 265.399994
 351.500000 4881.50000 221.399994
 352.500000 4881.50000 203.399994
 353.500000 4881.50000 241.699997
 354.500000 4881.50000 269.200012
 355.500000 4881.50000 215.600006
 356.500000 4881.50000 194.399994
 357.500000 4881.50000 175.899994
 338.500000 4882.50000 180.500000
 339.500000 4882.50000 191.600006
 340.500000 4882.50000 229.899994
 341.500000 4882.50000 279.899994
 342.500000 4882.50000 395.600006
 343.500000 4882.50000 409.100006
 344.500000 4882.50000 446.600006
 345.500000 4882.50000 491.799988
 346.500000 4882.50000 314.700012
 347.500000 4882.50000 276.899994
 348.500000 4882.50000 260.899994
 349.500000 4882.50000 277.799988
 350.500000 4882.50000 321.000000
 351.500000 4882.50000 299.299988
 352.500000 4882.50000 204.100006
 353.500000 4882.50000 187.199997
 354.500000 4882.50000 190.699997
 355.500000 4882.50000 179.699997
 356.500000 4882.50000 181.000000
 357.500000 4882.50000 162.899994
 338.500000 4883.50000 186.000000
 339.500000 4883.50000 232.000000
 340.500000 4883.50000 355.500000
 341.500000 4883.50000 385.899994
 342.500000 4883.50000 507.799988
 343.500000 4883.50000 567.400024
 344.500000 4883.50000 614.099976
 345.500000 4883.50000 597.900024
 346.500000 4883.50000 482.299988
 347.500000 4883.50000 388.399994
 348.500000 4883.50000 338.799988
 349.500000 4883.50000 277.600006
 350.500000 4883.50000 296.000000
 351.500000 4883.50000 339.899994
 352.500000 4883.50000 224.899994
 353.500000 4883.50000 182.600006
 354.500000 4883.50000 160.699997
 355.500000 4883.50000 157.899994
 356.500000 4883.50000 170.800003
 357.500000 4883.50000 153.699997
 338.500000 4884.50000 202.899994
 339.500000 4884.50000 291.100006
 340.500000 4884.50000 455.299988
 341.500000 4884.50000 451.700012
 342.500000 4884.50000 560.200012
 343.500000 4884.50000 676.500000
 344.500000 4884.50000 783.900024
 345.500000 4884.50000 739.200012
 346.500000 4884.50000 640.200012
 347.500000 4884.50000 585.700012
 348.500000 4884.50000 462.299988
 349.500000 4884.50000 299.000000
 350.500000 4884.50000 257.399994
 351.500000 4884.50000 311.799988
 352.500000 4884.50000 260.200012
 353.500000 4884.50000 179.500000
 354.500000 4884.50000 153.199997
 355.500000 4884.50000 152.100006
 356.500000 4884.50000 152.000000
 357.500000 4884.50000 147.500000
 338.500000 4885.50000 253.699997
 339.500000 4885.50000 395.700012
 340.500000 4885.50000 580.900024
 341.500000 4885.50000 597.099976
 342.500000 4885.50000 675.900024
 343.500000 4885.50000 665.500000
 344.500000 4885.50000 685.099976
 345.500000 4885.50000 628.200012
 346.500000 4885.50000 555.099976
 347.500000 4885.50000 569.500000
 348.500000 4885.50000 415.899994
 349.500000 4885.50000 321.000000
 350.500000 4885.50000 268.700012
 351.500000 4885.50000 242.500000
 352.500000 4885.50000 211.899994
 353.500000 4885.50000 163.800003
 354.500000 4885.50000 155.199997
 355.500000 4885.50000 148.600006
 356.500000 4885.50000 142.399994
 357.500000 4885.50000 138.100006
 338.500000 4886.50000 342.200012
 339.500000 4886.50000 481.700012
 340.500000 4886.50000 666.000000
 341.500000 4886.50000 769.299988
 342.500000 4886.50000 700.299988
 343.500000 4886.50000 534.400024
 344.500000 4886.50000 520.400024
 345.500000 4886.50000 449.899994
 346.500000 4886.50000 406.500000
 347.500000 4886.50000 448.000000
 348.500000 4886.50000 428.100006
 349.500000 4886.50000 352.700012
 350.500000 4886.50000 329.399994
 351.500000 4886.50000 263.899994
 352.500000 4886.50000 200.600006
 353.500000 4886.50000 167.199997
 354.500000 4886.50000 148.000000
 355.500000 4886.50000 138.100006
 356.500000 4886.50000 133.899994
 357.500000 4886.50000 132.100006
 338.500000 4887.50000 404.700012
 339.500000 4887.50000 556.099976
 340.500000 4887.50000 614.400024
 341.500000 4887.50000 769.599976
 342.500000 4887.50000 667.299988
 343.500000 4887.50000 520.700012
 344.500000 4887.50000 425.100006
 345.500000 4887.50000 382.500000
 346.500000 4887.50000 336.200012
 347.500000 4887.50000 341.899994
 348.500000 4887.50000 308.799988
 349.500000 4887.50000 320.600006
 350.500000 4887.50000 358.200012
 351.500000 4887.50000 278.700012
 352.500000 4887.50000 218.800003
 353.500000 4887.50000 149.500000
 354.500000 4887.50000 135.000000
 355.500000 4887.50000 128.699997
 356.500000 4887.50000 128.100006
 357.500000 4887.50000 129.199997
 338.500000 4888.50000 399.200012
 339.500000 4888.50000 530.799988
 340.500000 4888.50000 628.599976
 341.500000 4888.50000 760.000000
 342.500000 4888.50000 672.900024
 343.500000 4888.50000 502.600006
 344.500000 4888.50000 442.500000
 345.500000 4888.50000 405.799988
 346.500000 4888.50000 401.500000
 347.500000 4888.50000 312.700012
 348.500000 4888.50000 279.100006
 349.500000 4888.50000 266.899994
 350.500000 4888.50000 262.600006
 351.500000 4888.50000 214.800003
 352.500000 4888.50000 184.800003
 353.500000 4888.50000 147.600006
 354.500000 4888.50000 131.699997
 355.500000 4888.50000 128.000000
 356.500000 4888.50000 128.000000
 357.500000 4888.50000 128.000000
 338.500000 4889.50000 342.000000
 339.500000 4889.50000 515.099976
 340.500000 4889.50000 679.500000
 341.500000 4889.50000 633.900024
 342.500000 4889.50000 551.599976
 343.500000 4889.50000 549.400024
 344.500000 4889.50000 574.099976
 345.500000 4889.50000 531.900024
 346.500000 4889.50000 484.000000
 347.500000 4889.50000 384.899994
 348.500000 4889.50000 325.899994
 349.500000 4889.50000 227.000000
 350.500000 4889.50000 210.899994
 351.500000 4889.50000 196.800003
 352.500000 4889.50000 171.500000
 353.500000 4889.50000 137.399994
 354.500000 4889.50000 128.100006
 355.500000 4889.50000 128.000000
 356.500000 4889.50000 128.000000
 357.500000 4889.50000 127.599998
